"id","type","level","title","description","speakers","venue","dayTime","services","tags","url"
"GHJ401","Gamified learning","400","AWS AI League: Building  intelligent AI Agents with Amazon Bedrock AgentCore","Dive into the future of AI in this competitive workshop where you'll create intelligent agents using Amazon Bedrock AgentCore. Choose between our no-code UI interface or build directly with AgentCore to develop agents that tackle real-world technical challenges. Experience hands-on learning through dynamic gameplay with live leaderboards while mastering prompt engineering, safety guardrails, and performance optimization. Whether you're avid AI developers and architects eager to gain practical experience with production-grade agentic AI, regardless of LLM experience level.","Dana Bullukian; Marc Karp","MGM","Wednesday 09:00 - 11:00","Amazon Bedrock; Amazon SageMaker; Amazon SageMaker AI","Generative AI; Responsible AI; Agentic AI; Artificial Intelligence; Developer Tools; Data Scientist; Developer / Engineer; IT Professional / Technical Manager; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1755023386427001lTvt"
"GHJ309","Gamified learning","300","AWS AI League: Learn, compete and innovate in the ultimate AI showdown","Learn, compete and innovate in the ultimate AI showdown. Participate for prizes, glory, and a chance to advance to the AWS AI League Championship Finals. In this hands-on workshop you’ll compete head-to-head in customizing smarter and more accurate AI models. You’ll tackle real-world challenges as you generate synthetic datasets, experiment with model customization, and fine-tune foundation models to improve accuracy, clarity, and relevance. You’ll learn just how accessible and cost-effective AI customization can be. Top performers in this session qualify for the AWS AI League Championship Finals and compete for the $25,000 prizepool. Whether you’re chasing the championship or simply sharpening your AI expertise, this session delivers practical, scalable techniques you can apply immediately. You must bring your laptop to participate.","Parth Desai; Vu Le; Vincent Oh; Alee Whitman","MGM","Tuesday 12:30 - 14:30","Amazon SageMaker; Amazon Nova; Amazon SageMaker AI","Generative AI; Agentic AI; Machine Learning; Artificial Intelligence; Data Engineer; Data Scientist; Developer / Engineer; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1755023386346001lnG0"
"GHJ205","Gamified learning","200","AWS AI League: Model customization made easy - PART 1","In this hands-on workshop you’ll compete head-to-head with other builders to customize AI models. You’ll tackle real-world challenges as you generate synthetic datasets, experiment with model customization, and fine-tune models to improve accuracy, clarity, and relevance. You’ll learn just how accessible and cost-effective AI customization can be. Whether you’re chasing the championship or simply sharpening your AI expertise, this session delivers practical techniques you can apply immediately. You must bring your laptop to participate","Rajesh Babu Nuvvula; Alee Whitman","MGM","Monday 08:30 - 10:30","Amazon Bedrock; Amazon SageMaker AI","Generative AI; Agentic AI; Artificial Intelligence; Data Scientist; Developer / Engineer; IT Professional / Technical Manager; Developer Community","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1759416160319001p5dn"
"STG418","Chalk talk","400","AWS Backup clean room recovery: Comprehensive resilience framework","In this technical deep-dive session, discover how AWS Backup provides a comprehensive data resilience framework for organizations facing evolving cyber threats. Learn how AWS Backup's key features, including automated restore testing, index search capabilities, and logical air-gapped vaults, can be leveraged in multi-account strategies to enhance backup isolation and recovery. Learn to design robust architectures that utilize these AWS Backup capabilities to create a secure, isolated environment for backup recovery, mimicking the concept of a ""clean room"" in traditional disaster recovery scenarios.","Vivek Mishra; Sabith Venkitachalapathy","Wynn","Wednesday 13:30 - 14:30","AWS Backup","Data Protection; Disaster Response & Recovery; Resilience; Storage; Cloud Security Specialist; IT Professional / Technical Manager; Solution / Systems Architect; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399814930001KmSu"
"STG410","Chalk talk","400","AWS Backup unlocked: strategies for at-scale data protection","Many organizations have barely scratched the surface of what's possible with AWS Backup at enterprise scale. This chalk talk delves into advanced strategies for building comprehensive data protection that spans your entire AWS estate. We'll navigate the data protection journey—from baseline automated backups to sophisticated air-gapped solutions with automated restore testing. Discover how to leverage AWS Organizations for centralized control, implement logical air-gaps for cyber resilience, and ensure compliance across accounts and regions. Whether you're looking to scale your AWS Backup implementation or architect cutting-edge solutions, you'll gain expert insights to transform your data protection practice. Join us to master techniques that elevate your organization's security posture using AWS Backup.","Wali Akbari; Stuart Lupton","Mandalay Bay","Wednesday 16:00 - 17:00","AWS Backup","Data Protection; Disaster Response & Recovery; Resilience; Storage; DevOps Engineer; IT Professional / Technical Manager; Solution / Systems Architect; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399813981001KRAl"
"TNC101","Bootcamp",,"AWS Cloud Technical Essentials","The bootcamp session covers the fundamental AWS concepts related to compute, database, storage, networking, monitoring, and security. You will start working in AWS through hands-on course experiences. The course covers the concepts necessary to increase your understanding of AWS services, so that you can make informed decisions about solutions that meet business requirements. Throughout the course, you will gain information on how to build, compare, and apply highly available, fault tolerant, scalable, and cost-effective cloud solutions.","",,,"","Training & Certification","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753651604716001kVo3"
"NET331","Code talk","300","AWS Cloud WAN MCP Server: Transform network operations with GenAI","Ready to experience the power of debugging network issues through natural language queries? Discover how AWS Cloud WAN's Model Context Protocol (MCP) server leverages Generative AI to redefine network operations. In this session, learn how to use common, complex scenarios including trace network paths using natural language queries, analyzing AWS Cloud WAN Core Network policies through simple prompts, and troubleshoot global routing with AI-assisted intelligent analysis. Perfect for network professionals who want to explore streamlining their AWS infrastructure management while embracing the future of AI-powered networking tools.","Jose Juhala; Andy Taylor","Mandalay Bay","Monday 11:30 - 12:30","","Networking & Content Delivery; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399800899001K9om"
"SEC323","Breakout session","300","AWS detection and response innovations that drive security outcomes","Discover how the latest AWS detection and response capabilities can help secure your cloud environment more effectively. Learn practical ways to achieve integrated security outcomes through enhanced threat detection, automated vulnerability management, and streamlined response—all at scale. We'll show you how to use AWS security services to protect workloads and data, centralize security monitoring, manage security posture continuously, and unify security data, while leveraging generative AI for security operations. Walk away with actionable insights for integrating AWS detection and response services to strengthen and simplify security across your AWS environment.","Ryan Holland; Himanshu Verma","Wynn","Wednesday 16:00 - 17:00","Amazon GuardDuty; Amazon Inspector; AWS Security Hub","Threat Detection & Incident Response; DevSecOps; Security & Identity; Solution / Systems Architect; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399806135001K8qQ"
"COP302-R","Builders' session","300","AWS disaster recovery strategies [REPEAT]","Prepare for the unexpected in this disaster recovery (DR) builders session. We'll work on an application to implement the DR strategy that aligns to the recovery objectives of your business: Backup and restore, pilot light, warm standby, or AWS Elastic Disaster Recovery (AWS DRS). We'll cover services such as Amazon Aurora, Amazon S3, Amazon EC2, AWS CloudFront, AWS DRS, AWS Fault Injection Service, and AWS Backup. We will also explore ways to test and validate your chosen approach. You'll leave with practical insights for building the right DR strategy for your business.","Rodrigo Asensio; Joe Chapman; Mark Jaggers; Yanzhu Ji; Nick Kniveton; Sudeesh Veettil","Wynn","Monday 13:00 - 14:00","Amazon Aurora; AWS Elastic Disaster Recovery; Amazon Application Recovery Controller","Disaster Response & Recovery; Management & Governance; Architecture; Cloud Operations; Developer / Engineer; DevOps Engineer; IT Professional / Technical Manager; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753381062291001lgKB"
"COP302-R2","Builders' session","300","AWS disaster recovery strategies [REPEAT]","Prepare for the unexpected in this disaster recovery (DR) builders session. We'll work on an application to implement the DR strategy that aligns to the recovery objectives of your business: Backup and restore, pilot light, warm standby, or AWS Elastic Disaster Recovery (AWS DRS). We'll cover services such as Amazon Aurora, Amazon S3, Amazon EC2, AWS CloudFront, AWS DRS, AWS Fault Injection Service, and AWS Backup. We will also explore ways to test and validate your chosen approach. You'll leave with practical insights for building the right DR strategy for your business.","Rodrigo Asensio; Joe Chapman; Yanzhu Ji; Nick Kniveton; Sudeesh Veettil","Wynn","Wednesday 14:30 - 15:30","Amazon Aurora; AWS Elastic Disaster Recovery; Amazon Application Recovery Controller","Disaster Response & Recovery; Management & Governance; Architecture; Cloud Operations; Developer / Engineer; DevOps Engineer; IT Professional / Technical Manager; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1757635125838001f1HY"
"COP302-R1","Builders' session","300","AWS disaster recovery strategies [REPEAT]","Prepare for the unexpected in this disaster recovery (DR) builders session. We'll work on an application to implement the DR strategy that aligns to the recovery objectives of your business: Backup and restore, pilot light, warm standby, or AWS Elastic Disaster Recovery (AWS DRS). We'll cover services such as Amazon Aurora, Amazon S3, Amazon EC2, AWS CloudFront, AWS DRS, AWS Fault Injection Service, and AWS Backup. We will also explore ways to test and validate your chosen approach. You'll leave with practical insights for building the right DR strategy for your business.","Rodrigo Asensio; Joe Chapman; Yanzhu Ji; Nick Kniveton; Sudeesh Veettil","Wynn","Tuesday 16:00 - 17:00","Amazon Aurora; AWS Elastic Disaster Recovery; Amazon Application Recovery Controller","Disaster Response & Recovery; Management & Governance; Architecture; Cloud Operations; Developer / Engineer; DevOps Engineer; IT Professional / Technical Manager; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1757635123398001fOe0"
"TNC102","Exam prep",,"AWS Escape Room: Exam Prep for AWS Certified AI Practitioner [Exam Prep]","Prepare for AWS Certified AI Practitioner by playing this 3D virtual escape room game. During this session, you will select an avatar, enter a narrative-driven world, & solve a series of interactive puzzles, exam-style questions, & hands-on labs to leave locked rooms. Compete against others to escape first!  These are the requirements to participate: Device: Laptop or PC. Mobile devices not supported. OS: 64Bit operating system (Windows, macOS and Linux) Browser: Chrome, Firefox, Edge - mobile browsers are not supported. Storage: 1GB available space Network: Broadband internet connection (VPN connection not recommended) Graphics: Integrated or dedicated 3D graphics  Resolution: 1920 x 1080 resolution Input: Keyboard & Mouse are required to play Headphones: Optional but recommended Recommendations: Close all 3D graphics or CPU intensive applications. Connect headphones for sound effects.","",,,"","Training & Certification; Artificial Intelligence","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753651604806001km4K"
"TNC204","Exam prep","200","AWS Escape Room: Exam Prep for AWS Certified Solutions Architect - Associate","Prepare for AWS Certified Solutions Architect - Associate by playing this 3D virtual escape room game. Using an avatar, you will enter a narrative-driven world, & solve a series of interactive puzzles, exam-style questions, & hands-on labs to leave locked rooms. Compete against others to escape first! These are the requirements to participate:   Device: Laptop or PC. Mobile devices not supported.  OS: 64Bit operating system (Windows, macOS and Linux) Browser: Chrome, Firefox, Edge - mobile browsers are not supported. Storage: 1GB available space Network: Broadband internet connection (VPN connection not recommended) Graphics: Integrated or dedicated 3D graphics Resolution:1920 x 1080 resolution Input: Keyboard & Mouse are required to play Headphones: Optional but recommended Recommendations: Close all 3D graphics or CPU intensive applications. Connect headphones for full effects.","",,,"","Training & Certification; Architecture","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753651605418001kyw3"
"TNC103","Exam prep",,"AWS Escape Room: Exam Prep for Cloud Practitioner [Exam Prep]","Prepare for AWS Certified Cloud Practitioner by playing this 3D virtual escape room game. During this session, you will select an avatar, enter a narrative-driven world, & solve a series of interactive puzzles, exam-style questions, & hands-on labs to leave locked rooms. Compete against others to escape first!   Requirements to participate: Device: Laptop or PC. Mobile devices not supported. OS: 64Bit operating system (Windows, macOS and Linux) Browser: Chrome, Firefox, Edge - mobile browsers are not supported. Storage: 1GB available space Network: Broadband internet connection (VPN connection not recommended) Graphics: Integrated or dedicated 3D graphics Resolution: 1920 x 1080 resolution Input: Keyboard and Mouse are required to play Headphones: Optional but recommended Recommendations: Close all 3D graphics or CPU intensive applications. Connect headphones for full effect.","",,,"","Training & Certification; Cloud Operations","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753651604893001kDKR"
"SEC201","Breakout session","200","AWS European Sovereign Cloud: From concept to reality","Join AWS experts Colm and Addy for an in-depth look at the AWS European Sovereign Cloud. Explore this new, independent infrastructure's dedicated architecture, EU-based operations, operational controls coupled with governance and legal framework that powers this cloud. Learn how this cloud solution is built, operated, and secured entirely within Europe.","Colm MacCarthaigh; Addy Upreti","Venetian","Wednesday 08:30 - 09:30","AWS Certificate Manager (ACM); AWS Identity and Access Management (IAM); AWS Key Management Service (AWS KMS)","Digital Sovereignty; Security & Identity; Business Executive; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753149124350001CZpp"
"GBL101","Lightning talk",,"AWS European Sovereign Cloud: Your 20-Minute Essential Guide","Discover AWS's European Sovereign Cloud, designed to meet the evolving data sovereignty requirements and regulatory landscape of the European Union. In this concise 20-minute session, we'll explore the key features, architectural principles, and unique value propositions of this purpose-built cloud solution. Learn how AWS addresses data residency, operational autonomy, and compliance requirements while maintaining the same level of security, reliability, and innovation you expect from AWS. Whether you're a business leader, architect, or compliance professional operating in Europe, this session will equip you with essential knowledge to navigate the future of sovereign cloud computing.","Armin Schneider","Venetian","Wednesday 17:00 - 17:20","","Data Protection; Digital Sovereignty; Resilience; Cloud Operations; Databases; Security & Identity; Business Executive; Cloud Security Specialist; IT Professional / Technical Manager; Enterprise; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399789366001KeLI"
"IND378","Chalk talk","300","AWS for healthcare analytics: accelerating time to insights","In today's data-driven healthcare landscape, organizations must rapidly transform diverse data sources into actionable insights that improve patient outcomes and accelerate operational efficiency. This session showcases how AWS' integrated analytics capabilities can deliver unmatched price-performance for every analytics workload, from data processing and SQL analytics to streaming and business intelligence. Through real-world healthcare examples, learn how AWS' built-in governance and scalability enable organizations to build secure, efficient analytics pipelines that accelerate time-to-insight. Ideal for data practitioners, IT decision-makers, and executives evaluating enterprise analytics platforms to drive their data-driven transformation.","Subha Venugopal; James Wiggins","Caesars Forum","Monday 14:30 - 15:30","","Business Intelligence; Analytics; IT Executive; IT Professional / Technical Manager; Solution / Systems Architect; Healthcare & Life Sciences; Enterprise; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399793403001K93q"
"MAM203","Breakout session","200","AWS for VMware migrations: Successes, roadmaps, & strategies","Are you looking to migrate your VMware on-premises environment to AWS and seeking how other IT leaders completed their migration? This session brings together migration trailblazers who’ve been there. Hear firsthand how different global organizations accelerated their cloud journeys, from planning to execution. Speakers share the trusted tools, strategies, and lessons that streamlined their transitions, helping you get insights to guide your own migration. Plus, get a glimpse into their modernization roadmaps and innovation strategies. Whether you’re just starting or overcoming hurdles, you’ll gain actionable insights to drive your own cloud transformation.","Boatner Blankenstein","Wynn","Monday 14:30 - 15:30","Amazon Elastic Container Service (Amazon ECS); Amazon Elastic VMware Service (EVS); AWS Transform","VMware; Well-Architected Framework; Agentic AI; Migration & Modernization; Serverless & Containers; IT Executive; IT Professional / Technical Manager; System Administrator; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399796530001K4IJ"
"MAM308","Chalk talk","300","AWS fundamentals for the accidental SQL Server database administrator","With over 200 fully featured services on AWS, it can be challenging for database administrators to ramp up. In this chalk talk, learn how to map DBA tasks to cloud architect roles. Learn about networking, security, high availability, and disaster recovery for SQL Server versions up to 2025. Discover how to use generative AI services like Amazon Q Business and Amazon Q Developer with your deployments and queries. Learn to choose the right services, secure and cost-optimize workloads. Come prepared with your questions.","Baris Furtinalar; Andy Ward","MGM","Monday 13:00 - 14:00","Amazon Elastic Compute Cloud (Amazon EC2); Amazon Relational Database Service (Amazon RDS); Amazon Aurora for PostgreSQL","Microsoft & .NET; Customer Enablement; Migration & Modernization; Data Engineer; Data Scientist; IT Administrator; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399797515001KJ9E"
"SEC403-R","Workshop","400","AWS GameDay - Winning the DDos Game [REPEAT]","Compete in a team-based environment where you will face real-time threats aimed at your web application. Your team will use the latest capabilities in AWS WAF and AWS Shield to mitigate distributed HTTP floods, web exploits, and malicious bots that disrupt the experience of your customers. This event offers a risk-free environment where teamwork is paramount as you work together under pressure. Watch a real-time scoreboard as your team works through each level of the game. The most effective team will earn a prize at the end!","Julian Garcia; Jonathan Woods","Mandalay Bay","Tuesday 12:00 - 14:00","","Network & Infrastructure Security; Security & Identity; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753151034999001TRDF"
"SEC403-R1","Workshop","400","AWS GameDay - Winning the DDos Game [REPEAT]","Compete in a team-based environment where you will face real-time threats aimed at your web application. Your team will use the latest capabilities in AWS WAF and AWS Shield to mitigate distributed HTTP floods, web exploits, and malicious bots that disrupt the experience of your customers. This event offers a risk-free environment where teamwork is paramount as you work together under pressure. Watch a real-time scoreboard as your team works through each level of the game. The most effective team will earn a prize at the end!","Julian Garcia; Jonathan Woods","Mandalay Bay","Wednesday 15:30 - 17:30","","Network & Infrastructure Security; Security & Identity; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1757635140612001f1ah"
"GHJ305","Gamified learning","300","AWS GameDay: Agentic AI ft. Dynatrace","Join us for an immersive and collaborative learning exercise to develop practical skills in implementing AI-assisted solutions on AWS. Dive into a live AWS environment where you will enhance various workloads with cutting-edge AI capabilities. You will leverage and build skills in Amazon Bedrock, foundation models, AI agents, intelligent automation, and ML-powered operations. Face challenges that blend traditional cloud architecture with the power of AI! Whether you are an AI enthusiast or just getting started and looking to build your AI skillset, this GameDay will put your AI skills to the ultimate test. This session features integrated use cases with Dynatrace.","Maya Flores","Mandalay Bay","Tuesday 08:00 - 12:00","","Generative AI; Agentic AI; Machine Learning; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1754603222156001QwNu"
"GHJ306","Gamified learning","300","AWS GameDay: AI-Assisted Developer Experience ft. New Relic","Join us for an immersive and collaborative learning exercise to develop practical skills in AI-assisted developer tooling from AWS. Dive into a live AWS environment where you will 10x your engineering skills with AI as you onboard as a new software engineer at a fictional startup. You will leverage and build skills while working with AI-powered coding assistants and other tools as you plan prompts, surface specs, review requirements, and tackle tasks to vibe code your way to the top of the leaderboard. Race against time to transform old codebases, automate ops, and even ship straight to prod! Whether you are a seasoned coder or just starting your cloud journey, this GameDay will put your dev skills to the ultimate test. This session features integrated use cases with New Relic.","Lillian Pham","Mandalay Bay","Wednesday 08:00 - 12:00","","Generative AI; Automation; Agentic AI; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1754603222225001Qms1"
"GHJ307","Gamified learning","300","AWS GameDay: Cloud Architecture ft. Datadog","Join us for an immersive and collaborative learning exercise to develop practical skills in advanced cloud architecture on AWS. Dive into a live AWS environment to design and implement solutions that balance performance, cost, reliability, and operational excellence. And, of course, you will flex your Well Architected muscles to lift all six pillars of the Well Architected Framework. Tackle complex scenarios that push your architectural decision-making to the limit! Whether you are a seasoned architect or an aspiring cloud professional, this GameDay will challenge your ability to create resilient, efficient cloud solutions when it counts. This session features integrated use cases with Datadog.","Jim DeHart","Mandalay Bay","Monday 08:00 - 12:00","","Resilience; Well-Architected Framework; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1754603222289001QCqR"
"GHJ308","Gamified learning","300","AWS GameDay: Security ft. SentinelOne","Join us for an immersive and collaborative learning exercise to develop practical skills in cloud security on AWS. Defend your cloud infrastructure in a real AWS environment as you navigate this high-stakes security challenge. You will leverage and build skills in detection and response, zero-trust architectures, and ensure compliance while maintaining operational stability. Face off against real-world security scenarios with sophisticated attack patterns — where the attacks may even originate from other teams participating in the GameDay! Whether you are a seasoned security professional or brand new to the world of security, this GameDay will sharpen your cloud security skills. This session features integrated use cases with SentinelOne.","Lorenzo Ciaravola","Mandalay Bay","Thursday 13:00 - 17:00","","Application Security; Threat Detection & Incident Response; DevSecOps; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1754603222357001Qsru"
"PEX108","Lightning talk",,"AWS Generative AI Innovation Center driving enterprise success with AWS Partners","This session reveals proven pathways to generative AI and agentic AI success, drawn from the AWS Generative AI Innovation Center's experience with thousands of customer implementations. As organizations move beyond initial AI experiments to broad-scale deployment, they face critical challenges in customizing models with proprietary data, managing costs, and scaling autonomous agents across the enterprise. We'll showcase how the AWS Generative AI Innovation Center's production-first methodology and Partner Innovation Alliance (PIA) create opportunities with partners to build joint solutions. In particular, we will discuss the VALUE (Velocity Acceleration for Leveraging Unified Enterprise-AI) framework, which helps organizations overcome these challenges and achieve measurable business outcomes.","","Venetian","Wednesday 13:00 - 13:20","","Generative AI; Agentic AI; Business Executive; IT Executive; Sales / Marketing; Partner Enablement; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753753669017001kSDf"
"PEX105","Lightning talk",,"AWS Global Startup Program - how to accelerate your GTM success","Discover how to leverage the AWS Global Startup Program to accelerate your success partnering with AWS. If you are a startup ISV and looking to reach more AWS customers, join this session to learn best practices and strategies to accelerate your results partnering with AWS.","","Venetian","Thursday 12:00 - 12:20","","Business Executive; IT Executive; Sales / Marketing; Software & Internet; Startup; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753753668854001k1kZ"
"CMP307","Breakout session","300","AWS Graviton: The best price performance for your AWS workloads","AWS Graviton-based Amazon EC2 instances provide the best price performance for workloads in Amazon EC2. In this session, dive deep into the AWS Graviton processor and learn about its workload performance, energy efficiency, and software offerings. Learn about common use cases, best practices to optimize your workloads across various applications, customer success stories, and how you can accelerate your AWS Graviton journey.","Sudhir Raman; Ali Saidi",,,"Amazon EC2 - Graviton","Cost Optimization; Innovation & Transformation; Compute; Migration & Modernization; Developer / Engineer; IT Professional / Technical Manager; Solution / Systems Architect; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753381057065001lmAF"
"GHJ303","Gamified learning","300","AWS Jam: DevOps & Modernization - Sponsored by LaunchDarkly","Are you looking to enhance your AWS DevOps and modernization skills? We’ll provide hands-on environments where you can improve applications and implement DevOps best practices. What are the limitations of the current solution? How can you use multiple AWS services to modernize your architectures? Whether you're new to AWS or a seasoned Cloud Ninja, this Jam is your chance to demonstrate your skills and learn new ones. Structured for all experience levels, our sessions include guided exercises, helpful clues, and support from AWS experts to boost your application modernization and DevOps knowledge. Team up, compete with others, climb the leaderboard, and win prizes based on speed and accuracy. With expert guidance every step of the way, all you need is a computer, a desire to learn, and a competitive spirit.","Nir Pilo","Mandalay Bay","Monday 14:00 - 17:00","AWS Transform","DevOps; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1754603222019001QrKF"
"GHJ301","Gamified learning","300","AWS Jam: Generative AI - Sponsored by Nvidia","Having the right data is just the start—knowing how to use AWS services to unlock the power of Generative AI is the real challenge. In this hands-on Jam, you’ll team up to solve real-world Gen AI and Agentic AI scenarios using tools like Amazon Bedrock and SageMaker AI. Whether you’re exploring prompt engineering or building with foundation models, challenges are designed for all skill levels. Compete against other teams, climb the leaderboard, and win prizes based on speed and accuracy. AWS experts will be available to guide you, and helpful clues will keep you moving forward. All you need is a computer, a desire to learn, and a little competitive spirit to take on this Gen AI challenge.","Nir Pilo","Mandalay Bay","Wednesday 14:00 - 17:00","Amazon SageMaker AI","Generative AI; Agentic AI; Artificial Intelligence; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1754603221840001Qxn3"
"GHJ302","Gamified learning","300","AWS Jam: Security- Sponsored by PaloAlto Networks and Fortinet","In this session, we’ll provide incident response scenarios where you can build new skills and sharpen existing ones by working through simulated security incidents. Can you identify what caused the breach? What would you do differently? How can you use AWS services to architect and prevent incidents from happening again? Whether you're new to AWS, new to security, or experienced in both, this session is for you. Our guided exercises and AWS experts will support learners of all levels. Team up, compete against others, climb the leaderboard, and win prizes based on speed and accuracy. With expert guidance and helpful clues along the way, all you need is a computer, a desire to learn, and a competitive spirit to take on the challenge.","Nir Pilo","Mandalay Bay","Tuesday 14:00 - 17:00","","Training & Certification; Security & Identity; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1754603221950001QHXa"
"SEC218","Breakout session","200","AWS KMS over the decade: How architecture evolved to earn customer trust","Data privacy and sovereignty requirements continue to drive cloud security innovation. This deep dive session traces AWS Key Management Service (AWS KMS) evolution since inception; from solving fundamental key management challenges to supporting complex regulatory and compliance requirements. Learn about the AWS KMS architecture, operational processes, and technical controls that are in place and how it all comes together to help ensure customer trust. Gain insights into AWS European Sovereign Cloud and how its utilization of partitions and its corporate governance model provide you with stronger security assurance and sovereignty needs.","Kevin Lee (AWS); Samuel Waymouth","Caesars Forum","Friday 09:00 - 10:00","","Digital Sovereignty; Security & Identity; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399806278001KhCM"
"CNS304-R2","Chalk talk","300","AWS Lambda performance tuning: Best practices and guidance [REPEAT]","In this session, you learn about opportunities to optimize your Serverless applications built with AWS Lambda. We'll discuss optimizations in the function configuration and within your function code. This session also covers how you can best measure and tune your function's performance by configuring memory to get the right application performance. You also hear best practices for initialization logic and reuse to enable fast startup and fast execution of your functions.","Vamsi Vikash Ankam; Matt Diamond","Caesars Forum","Tuesday 13:30 - 14:30","","Lambda-Based Applications; Serverless; Serverless & Containers; Developer / Engineer; IT Professional / Technical Manager; Solution / Systems Architect; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1757635131828001fCjK"
"CNS304-R","Chalk talk","300","AWS Lambda performance tuning: Best practices and guidance [REPEAT]","In this session, you learn about opportunities to optimize your Serverless applications built with AWS Lambda. We'll discuss optimizations in the function configuration and within your function code. This session also covers how you can best measure and tune your function's performance by configuring memory to get the right application performance. You also hear best practices for initialization logic and reuse to enable fast startup and fast execution of your functions.","Paras Jain; Vamsi Vikash Ankam; Matt Diamond","Wynn","Wednesday 13:00 - 14:00","","Lambda-Based Applications; Serverless; Serverless & Containers; Developer / Engineer; IT Professional / Technical Manager; Solution / Systems Architect; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753381073020001leLt"
"HMC213","Lightning talk","200","AWS Local Zones & Outposts: Verifone's Global Edge Computing Strategy","Discover how Hybrid Edge solutions help organizations deliver low-latency experiences globally. You will learn how AWS Local Zones and AWS Outposts extend cloud infrastructure beyond AWS Regions across multiple industries, from media/gaming to financial services. Verifone will share how they transformed their global payment ecosystem, managing 35 million terminals with innovative edge computing. Dive into strategies for deploying point-of-sale (POS) software using multi-tier architectures. Whether you're managing global operations or optimizing performance, this session provides actionable insights to enhance end-user experiences with AWS edge solutions.","Susmitha Marupaka; Stephen Davey",,,"AWS Local Zones; AWS Outposts","Edge Computing; Global Infrastructure; Hybrid Cloud & Multicloud; Cloud Security Specialist; IT Professional / Technical Manager; Solution / Systems Architect; Financial Services; Enterprise; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399790324001K3T1"
